MODEL,DATA_TYPE,NOTES,NGRAMLENGTHVAL,ACTIVATION/KERNEL,CHORDS_IN_NRGAM,SOFTMAX,SCORES,AVG. SCORE
MLP,ngram_notes,1,8,relu,True,True,"[('0.293', '0.379'), ('0.290', '0.266'), ('0.302', '0.175'), ('0.309', '0.227'), ('0.298', '0.172'), ('0.316', '0.190'), ('0.308', '0.092'), ('0.301', '0.293'), ('0.316', '0.120'), ('0.314', '0.032')]","('0.3047', '0.1946')"
MLP,ngram_notes,2,8,relu,True,True,"[('0.293', '0.379'), ('0.290', '0.266'), ('0.302', '0.175'), ('0.309', '0.227'), ('0.298', '0.172'), ('0.316', '0.190'), ('0.308', '0.092'), ('0.301', '0.293'), ('0.316', '0.120'), ('0.314', '0.032')]","('0.3047', '0.1946')"
MLP,ngram_notes,3,8,relu,True,True,"[('0.293', '0.379'), ('0.290', '0.266'), ('0.302', '0.175'), ('0.309', '0.227'), ('0.298', '0.172'), ('0.316', '0.190'), ('0.308', '0.092'), ('0.301', '0.293'), ('0.316', '0.120'), ('0.314', '0.032')]","('0.3047', '0.1946')"
MLP,ngram_notes,4,8,relu,True,True,"[('0.293', '0.379'), ('0.290', '0.266'), ('0.302', '0.175'), ('0.309', '0.227'), ('0.298', '0.172'), ('0.316', '0.190'), ('0.308', '0.092'), ('0.301', '0.293'), ('0.316', '0.120'), ('0.314', '0.032')]","('0.3047', '0.1946')"
MLP,ngram_notes,5,8,relu,True,True,"[('0.293', '0.379'), ('0.290', '0.266'), ('0.302', '0.175'), ('0.309', '0.227'), ('0.298', '0.172'), ('0.316', '0.190'), ('0.308', '0.092'), ('0.301', '0.293'), ('0.316', '0.120'), ('0.314', '0.032')]","('0.3047', '0.1946')"
MLP,ngram_notes,6,8,relu,True,True,"[('0.293', '0.379'), ('0.290', '0.266'), ('0.302', '0.175'), ('0.309', '0.227'), ('0.298', '0.172'), ('0.316', '0.190'), ('0.308', '0.092'), ('0.301', '0.293'), ('0.316', '0.120'), ('0.314', '0.032')]","('0.3047', '0.1946')"
MLP,ngram_notes,7,8,relu,True,True,"[('0.293', '0.379'), ('0.290', '0.266'), ('0.302', '0.175'), ('0.309', '0.227'), ('0.298', '0.172'), ('0.316', '0.190'), ('0.308', '0.092'), ('0.301', '0.293'), ('0.316', '0.120'), ('0.314', '0.032')]","('0.3047', '0.1946')"
MLP,ngram_notes,8,8,relu,True,True,"[('0.293', '0.379'), ('0.290', '0.266'), ('0.302', '0.175'), ('0.309', '0.227'), ('0.298', '0.172'), ('0.316', '0.190'), ('0.308', '0.092'), ('0.301', '0.293'), ('0.316', '0.120'), ('0.314', '0.032')]","('0.3047', '0.1946')"
MLP,ngram_notes,1,7,relu,True,True,"[('0.288', '0.373'), ('0.295', '0.271'), ('0.306', '0.183'), ('0.303', '0.235'), ('0.302', '0.183'), ('0.310', '0.195'), ('0.313', '0.103'), ('0.296', '0.295'), ('0.311', '0.113'), ('0.308', '0.059')]","('0.3032', '0.2010')"
MLP,ngram_notes,2,7,relu,True,True,"[('0.288', '0.373'), ('0.295', '0.271'), ('0.306', '0.183'), ('0.303', '0.235'), ('0.302', '0.183'), ('0.310', '0.195'), ('0.313', '0.103'), ('0.296', '0.295'), ('0.311', '0.113'), ('0.308', '0.059')]","('0.3032', '0.2010')"
MLP,ngram_notes,3,7,relu,True,True,"[('0.288', '0.373'), ('0.295', '0.271'), ('0.306', '0.183'), ('0.303', '0.235'), ('0.302', '0.183'), ('0.310', '0.195'), ('0.313', '0.103'), ('0.296', '0.295'), ('0.311', '0.113'), ('0.308', '0.059')]","('0.3032', '0.2010')"
MLP,ngram_notes,4,7,relu,True,True,"[('0.288', '0.373'), ('0.295', '0.271'), ('0.306', '0.183'), ('0.303', '0.235'), ('0.302', '0.183'), ('0.310', '0.195'), ('0.313', '0.103'), ('0.296', '0.295'), ('0.311', '0.113'), ('0.308', '0.059')]","('0.3032', '0.2010')"
MLP,ngram_notes,5,7,relu,True,True,"[('0.288', '0.373'), ('0.295', '0.271'), ('0.306', '0.183'), ('0.303', '0.235'), ('0.302', '0.183'), ('0.310', '0.195'), ('0.313', '0.103'), ('0.296', '0.295'), ('0.311', '0.113'), ('0.308', '0.059')]","('0.3032', '0.2010')"
MLP,ngram_notes,6,7,relu,True,True,"[('0.288', '0.373'), ('0.295', '0.271'), ('0.306', '0.183'), ('0.303', '0.235'), ('0.302', '0.183'), ('0.310', '0.195'), ('0.313', '0.103'), ('0.296', '0.295'), ('0.311', '0.113'), ('0.308', '0.059')]","('0.3032', '0.2010')"
MLP,ngram_notes,7,7,relu,True,True,"[('0.288', '0.373'), ('0.295', '0.271'), ('0.306', '0.183'), ('0.303', '0.235'), ('0.302', '0.183'), ('0.310', '0.195'), ('0.313', '0.103'), ('0.296', '0.295'), ('0.311', '0.113'), ('0.308', '0.059')]","('0.3032', '0.2010')"
MLP,ngram_notes,8,7,relu,True,True,"[('0.288', '0.373'), ('0.295', '0.271'), ('0.306', '0.183'), ('0.303', '0.235'), ('0.302', '0.183'), ('0.310', '0.195'), ('0.313', '0.103'), ('0.296', '0.295'), ('0.311', '0.113'), ('0.308', '0.059')]","('0.3032', '0.2010')"
MLP,ngram_notes,1,4,relu,True,True,"[('0.282', '0.355'), ('0.294', '0.284'), ('0.308', '0.182'), ('0.293', '0.243'), ('0.302', '0.197'), ('0.301', '0.198'), ('0.312', '0.130'), ('0.292', '0.300'), ('0.306', '0.097'), ('0.303', '0.047')]","('0.2993', '0.2033')"
MLP,ngram_notes,2,4,relu,True,True,"[('0.282', '0.355'), ('0.294', '0.284'), ('0.308', '0.182'), ('0.293', '0.243'), ('0.302', '0.197'), ('0.301', '0.198'), ('0.312', '0.130'), ('0.292', '0.300'), ('0.306', '0.097'), ('0.303', '0.047')]","('0.2993', '0.2033')"
MLP,ngram_notes,3,4,relu,True,True,"[('0.282', '0.355'), ('0.294', '0.284'), ('0.308', '0.182'), ('0.293', '0.243'), ('0.302', '0.197'), ('0.301', '0.198'), ('0.312', '0.130'), ('0.292', '0.300'), ('0.306', '0.097'), ('0.303', '0.047')]","('0.2993', '0.2033')"
MLP,ngram_notes,4,4,relu,True,True,"[('0.282', '0.355'), ('0.294', '0.284'), ('0.308', '0.182'), ('0.293', '0.243'), ('0.302', '0.197'), ('0.301', '0.198'), ('0.312', '0.130'), ('0.292', '0.300'), ('0.306', '0.097'), ('0.303', '0.047')]","('0.2993', '0.2033')"
MLP,ngram_notes,5,4,relu,True,True,"[('0.282', '0.355'), ('0.294', '0.284'), ('0.308', '0.182'), ('0.293', '0.243'), ('0.302', '0.197'), ('0.301', '0.198'), ('0.312', '0.130'), ('0.292', '0.300'), ('0.306', '0.097'), ('0.303', '0.047')]","('0.2993', '0.2033')"
MLP,ngram_notes,6,4,relu,True,True,"[('0.282', '0.355'), ('0.294', '0.284'), ('0.308', '0.182'), ('0.293', '0.243'), ('0.302', '0.197'), ('0.301', '0.198'), ('0.312', '0.130'), ('0.292', '0.300'), ('0.306', '0.097'), ('0.303', '0.047')]","('0.2993', '0.2033')"
MLP,ngram_notes,7,4,relu,True,True,"[('0.282', '0.355'), ('0.294', '0.284'), ('0.308', '0.182'), ('0.293', '0.243'), ('0.302', '0.197'), ('0.301', '0.198'), ('0.312', '0.130'), ('0.292', '0.300'), ('0.306', '0.097'), ('0.303', '0.047')]","('0.2993', '0.2033')"
MLP,ngram_notes,8,4,relu,True,True,"[('0.282', '0.355'), ('0.294', '0.284'), ('0.308', '0.182'), ('0.293', '0.243'), ('0.302', '0.197'), ('0.301', '0.198'), ('0.312', '0.130'), ('0.292', '0.300'), ('0.306', '0.097'), ('0.303', '0.047')]","('0.2993', '0.2033')"
